Fecha,imp_regular,imp_superior,imp_diesel
2025-01-01,788005.35,645188.6,1326108.68
2025-02-01,857375.76,686641.5,1102736.51
2025-03-01,800182.17,796513.62,1617427.16
2025-04-01,898147.98,643476.9,1226170.62
2025-05-01,785675.37,747443.53,1520640.21
